start
orginal_choose: G:\My Drive\Video\Torrent_F\有码
root_to_compare: G:\Shared drives\Migration\Torrent_F\有码
root_to_remove: G:\Shared drives\Migration\To remove
root_to_remove1: G:\Shared drives\Migration\To remove1
415 : DVAJ-174 (1.55, 'GB') < (3.1, 'GB')
416 : DVAJ-244A (6.22, 'GB') < (12.71, 'GB')
417 : VDD-136 (5.0, 'GB') < (8.51, 'GB')
418 : VDD-082 (4.57, 'GB') < (4.75, 'GB')
419 : VDD-145 (1.13, 'GB') < (4.73, 'GB')
420 : DCOL-071 (1.03, 'GB') < (5.05, 'GB')
421 : NGOD-092 (2.29, 'GB') < (5.09, 'GB')
422 : NGOD-115 (4.88, 'GB') < (5.0, 'GB')
423 : BUD-001 (4.78, 'GB') < (9.83, 'GB')
424 : OAE-133 (2.33, 'GB') < (4.44, 'GB')
425 : MAS-063 (720.98, 'MB') < (3.62, 'GB')
